iter	Passed	Remaining
927	348969	27075
928	349335	26698
929	349713	26322
930	350111	25948
931	350475	25571
932	350849	25194
933	351208	24817
934	351558	24439
935	351902	24061
936	352250	23683
937	352596	23305
938	352967	22929
939	353326	22552
940	353685	22175
941	354046	21799
942	354393	21421
943	354755	21044
944	355095	20666
945	355451	20290
946	355799	19912
947	356160	19536
948	356509	19159
949	356854	18781
950	357172	18403
951	357534	18026
952	357896	17650
953	358271	17275
954	358623	16898
955	358992	16522
956	359333	16145
957	359691	15769
958	360054	15393
959	360403	15016
960	360793	14641
961	361164	14266
962	361525	13890
963	361874	13513
964	362229	13137
965	362590	12761
966	362939	12385
967	363267	12008
968	363648	11633
969	364021	11258
970	364390	10882
971	364764	10507
972	365108	10131
973	365485	9756
974	365821	9380
975	366173	9004
976	366515	8628
977	366867	8252
978	367209	7876
979	367579	7501
980	367923	7125
981	368276	6750
982	368643	6375
983	369037	6000
984	369396	5625
985	369765	5250
986	370120	4874
987	370486	4499
988	370858	4124
989	371206	3749
990	371592	3374
991	371957	2999
992	372274	2624
993	372627	2249
994	372988	1874
995	373356	1499
996	373709	1124
997	374081	749
998	374453	374
999	374826	0
